statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,1,2,0.0
S2,0,1,1,2,0.0
S3,0,1,1,2,0.0
S4,1,0,2,1,0.57735
S5,1,0,2,1,0.57735
S6,0,1,1,2,0.0
S7,1,0,2,1,0.57735
S8,0,1,1,2,0.0
S9,1,0,2,1,0.57735
S10,0,1,1,2,0.0
S11,0,1,1,2,0.0
S12,0,1,1,2,0.0
S13,1,0,2,1,0.57735
S14,1,0,2,1,0.57735
S15,1,0,2,1,0.57735
S16,1,0,2,1,0.57735
S17,1,0,2,1,0.57735
S18,1,0,2,1,0.57735
S19,1,0,2,1,0.57735
S20,1,0,2,1,0.57735
S21,1,0,2,1,0.57735
S22,0,1,1,2,0.0
S23,1,0,2,1,0.57735
S24,1,0,2,1,0.57735
S25,0,1,1,2,0.0
S26,0,1,1,2,0.0
S27,0,1,1,2,0.0
S28,0,1,1,2,0.0
S29,1,0,2,1,0.57735
S30,1,0,2,1,0.57735
S31,0,1,1,2,0.0
S32,0,1,1,2,0.0
S33,1,0,2,1,0.57735
S34,1,0,2,1,0.57735
S35,1,0,2,1,0.57735
S36,1,0,2,1,0.57735
S37,1,0,2,1,0.57735
S38,1,0,2,1,0.57735
S39,1,0,2,1,0.57735
S40,1,0,2,1,0.57735
S41,1,0,2,1,0.57735
S42,1,0,2,1,0.57735
S43,1,0,2,1,0.57735
S44,1,0,2,1,0.57735
S45,1,0,3,0,0.5
S46,0,1,2,1,0.0
S47,1,0,2,1,0.57735
S48,1,0,1,2,0.707107
S49,0,1,1,2,0.0
S50,0,1,1,2,0.0
S51,0,1,1,2,0.0
S52,0,1,1,2,0.0
S53,0,1,1,2,0.0
S54,0,1,1,2,0.0
S55,1,0,3,0,0.5
S56,1,0,2,1,0.57735
S57,1,0,2,1,0.57735
S58,1,0,2,1,0.57735
S59,1,0,2,1,0.57735
S60,0,1,1,2,0.0
S61,0,1,1,2,0.0
S62,1,0,2,1,0.57735
S63,1,0,3,0,0.5
S64,0,1,1,2,0.0
S65,1,0,2,1,0.57735
S66,1,0,2,1,0.57735
S67,1,0,2,1,0.57735
S68,0,1,1,2,0.0
S69,0,1,1,2,0.0
S70,1,0,2,1,0.57735
S71,0,1,1,2,0.0
S72,0,1,1,2,0.0
