file,line,approx,answerable,reason
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,44,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,46,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,47,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,57,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,58,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,59,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,60,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,62,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,65,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,66,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,67,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,94,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,95,False,False,live_line_never_executed
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,119,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,120,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,126,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,127,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,200,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,201,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,238,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,241,False,True,
src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,243,False,True,
