test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest::testPreconditions,PASS,0,0
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest::testPlane,PASS,3,3
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest::testParaboloid,PASS,3,3
org.apache.commons.math3.fitting.CurveFitterTest::testMath303,PASS,2,2
org.apache.commons.math3.fitting.CurveFitterTest::testMath304,PASS,2,2
org.apache.commons.math3.fitting.CurveFitterTest::testMath372,PASS,5,5
org.apache.commons.math3.fitting.GaussianFitterTest::testFit01,PASS,3,3
org.apache.commons.math3.fitting.GaussianFitterTest::testFit02,PASS,0,0
org.apache.commons.math3.fitting.GaussianFitterTest::testFit03,PASS,0,0
org.apache.commons.math3.fitting.GaussianFitterTest::testFit04,PASS,3,3
org.apache.commons.math3.fitting.GaussianFitterTest::testFit05,PASS,3,3
org.apache.commons.math3.fitting.GaussianFitterTest::testFit06,PASS,3,3
org.apache.commons.math3.fitting.GaussianFitterTest::testFit07,PASS,3,3
org.apache.commons.math3.fitting.GaussianFitterTest::testMath519,PASS,2,2
org.apache.commons.math3.fitting.GaussianFitterTest::testMath798,PASS,3,3
org.apache.commons.math3.fitting.HarmonicFitterTest::testPreconditions1,PASS,0,0
org.apache.commons.math3.fitting.HarmonicFitterTest::testNoError,PASS,4,4
org.apache.commons.math3.fitting.HarmonicFitterTest::test1PercentError,PASS,3,3
org.apache.commons.math3.fitting.HarmonicFitterTest::testTinyVariationsData,PASS,0,0
org.apache.commons.math3.fitting.HarmonicFitterTest::testInitialGuess,PASS,3,3
org.apache.commons.math3.fitting.HarmonicFitterTest::testUnsorted,PASS,3,3
org.apache.commons.math3.fitting.HarmonicFitterTest::testMath844,PASS,0,0
org.apache.commons.math3.fitting.PolynomialFitterTest::testFit,PASS,1,1
org.apache.commons.math3.fitting.PolynomialFitterTest::testNoError,PASS,1,1
org.apache.commons.math3.fitting.PolynomialFitterTest::testSmallError,PASS,2,2
org.apache.commons.math3.fitting.PolynomialFitterTest::testMath798,PASS,1,1
org.apache.commons.math3.fitting.PolynomialFitterTest::testMath798WithToleranceTooLow,PASS,0,0
org.apache.commons.math3.fitting.PolynomialFitterTest::testMath798WithToleranceTooLowButNoException,PASS,1,1
org.apache.commons.math3.fitting.PolynomialFitterTest::testRedundantSolvable,PASS,0,0
org.apache.commons.math3.fitting.PolynomialFitterTest::testRedundantUnsolvable,PASS,0,0
org.apache.commons.math3.fitting.PolynomialFitterTest::testLargeSample,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath828,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath828Cycle,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath781,PASS,4,4
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath713NegativeVariable,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath434NegativeVariable,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath434UnfeasibleSolution,PASS,0,0
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath434PivotRowSelection,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath434PivotRowSelection2,PASS,4,4
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath272,PASS,4,4
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath286,PASS,6,6
org.apache.commons.math3.optim.linear.SimplexSolverTest::testDegeneracy,PASS,1,1
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath288,PASS,1,1
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath290GEQ,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath290LEQ,PASS,0,0
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath293,PASS,8,8
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMath930,PASS,1,1
org.apache.commons.math3.optim.linear.SimplexSolverTest::testSimplexSolver,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testSingleVariableAndConstraint,PASS,2,2
org.apache.commons.math3.optim.linear.SimplexSolverTest::testModelWithNoArtificialVars,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testMinimization,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testSolutionWithNegativeDecisionVariable,PASS,3,3
org.apache.commons.math3.optim.linear.SimplexSolverTest::testInfeasibleSolution,PASS,0,0
org.apache.commons.math3.optim.linear.SimplexSolverTest::testUnboundedSolution,PASS,0,0
org.apache.commons.math3.optim.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,PASS,6,6
org.apache.commons.math3.optim.linear.SimplexSolverTest::testEpsilon,PASS,4,4
org.apache.commons.math3.optim.linear.SimplexSolverTest::testTrivialModel,PASS,1,1
org.apache.commons.math3.optim.linear.SimplexSolverTest::testLargeModel,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest::testCircleFitting,PASS,7,7
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest::testRosenbrock,PASS,4,4
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest::testStartSimplexInsideRange,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest::testOptimumOutsideRange,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest::testUnbounded,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest::testHalfBounded,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest::testStartSimplexInsideRange,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest::testStartSimplexOutsideRange,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest::testOptimumOutsideRange,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest::testUnbounded,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest::testHalfBounded,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,PASS,3,3
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testNoDependency,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testOneSet,PASS,3,3
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testTwoSets,PASS,6,6
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testNonInversible,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testIllConditioned,PASS,8,8
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testRedundantEquations,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,PASS,1,1
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testCircleFitting,PASS,3,3
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testInitOutOfBounds,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testBoundariesDimensionMismatch,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testProblemDimensionTooSmall,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testMaxEvaluations,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testRosen,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testMaximize,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testEllipse,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testElliRotated,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testCigar,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testTwoAxes,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testCigTab,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testSphere,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testTablet,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testDiffPow,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testSsDiffPow,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testAckley,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testRastrigin,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testConstrainedRosen,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest::testConstrainedRosenWithMoreInterpolationPoints,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testInitOutofbounds1,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testInitOutofbounds2,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testBoundariesDimensionMismatch,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testInputSigmaNegative,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testInputSigmaOutOfRange,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testInputSigmaDimensionMismatch,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testMath864,PASS,1,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testFitAccuracyDependsOnBoundary,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testBoundsUnsupported,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testQuadratic,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testMaximizeQuadratic,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testRelativeToleranceOnScaledValues,PASS,2,2
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testBoundsUnsupported,PASS,0,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testRosenbrock,PASS,4,4
