statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,10,16,56,115,0.241402
S2,10,16,56,115,0.241402
S3,10,16,47,124,0.259762
S4,10,16,46,125,0.262071
S5,0,26,2,169,0.0
S6,0,26,63,108,0.0
S7,0,26,56,115,0.0
S8,0,26,50,121,0.0
S9,0,26,50,121,0.0
S10,0,26,20,151,0.0
S11,0,26,20,151,0.0
S12,0,26,44,127,0.0
S13,0,26,50,121,0.0
S14,0,26,3,168,0.0
S15,0,26,3,168,0.0
S16,0,26,3,168,0.0
S17,0,26,3,168,0.0
S18,0,26,1,170,0.0
S19,0,26,59,112,0.0
S20,0,26,56,115,0.0
S21,0,26,56,115,0.0
S22,0,26,1,170,0.0
S23,0,26,56,115,0.0
S24,0,26,56,115,0.0
S25,0,26,56,115,0.0
S26,0,26,56,115,0.0
S27,0,26,59,112,0.0
S28,0,26,59,112,0.0
S29,0,26,59,112,0.0
S30,0,26,59,112,0.0
S31,0,26,59,112,0.0
S32,0,26,59,112,0.0
S33,0,26,59,112,0.0
S34,0,26,59,112,0.0
S35,0,26,59,112,0.0
S36,0,26,2,169,0.0
S37,0,26,2,169,0.0
S38,0,26,2,169,0.0
S39,0,26,2,169,0.0
S40,0,26,1,170,0.0
S41,0,26,1,170,0.0
S42,17,9,115,56,0.290185
S43,17,9,115,56,0.290185
S44,16,10,84,87,0.313786
S45,17,9,112,59,0.29354
S46,17,9,112,59,0.29354
S47,17,9,112,59,0.29354
S48,16,10,2,169,0.7396
S49,16,10,2,169,0.7396
S50,16,10,2,169,0.7396
S51,16,10,2,169,0.7396
S52,16,10,2,169,0.7396
S53,16,10,2,169,0.7396
S54,16,10,2,169,0.7396
S55,16,10,2,169,0.7396
S56,16,10,2,169,0.7396
S57,16,10,2,169,0.7396
S58,16,10,2,169,0.7396
S59,16,10,2,169,0.7396
S60,16,10,2,169,0.7396
S61,16,10,2,169,0.7396
S62,16,10,2,169,0.7396
S63,16,10,2,169,0.7396
S64,16,10,2,169,0.7396
S65,16,10,2,169,0.7396
S66,16,10,2,169,0.7396
S67,16,10,2,169,0.7396
S68,16,10,2,169,0.7396
S69,16,10,2,169,0.7396
S70,16,10,2,169,0.7396
S71,16,10,46,125,0.398508
S72,16,10,46,125,0.398508
S73,16,10,46,125,0.398508
S74,16,10,46,125,0.398508
S75,16,10,46,125,0.398508
S76,16,10,46,125,0.398508
S77,16,10,46,125,0.398508
S78,16,10,5,166,0.684737
S79,16,10,5,166,0.684737
S80,16,10,5,166,0.684737
S81,16,10,5,166,0.684737
S82,16,10,5,166,0.684737
S83,16,10,5,166,0.684737
S84,16,10,5,166,0.684737
S85,16,10,5,166,0.684737
S86,16,10,5,166,0.684737
S87,16,10,5,166,0.684737
S88,16,10,5,166,0.684737
S89,16,10,5,166,0.684737
S90,16,10,2,169,0.7396
S91,16,10,2,169,0.7396
S92,16,10,2,169,0.7396
S93,16,10,2,169,0.7396
S94,0,26,2,169,0.0
S95,0,26,2,169,0.0
S96,0,26,2,169,0.0
S97,0,26,2,169,0.0
S98,0,26,2,169,0.0
S99,0,26,2,169,0.0
S100,0,26,2,169,0.0
S101,0,26,2,169,0.0
S102,16,10,2,169,0.7396
S103,16,10,2,169,0.7396
S104,16,10,2,169,0.7396
S105,16,10,2,169,0.7396
S106,16,10,2,169,0.7396
S107,16,10,2,169,0.7396
S108,0,26,23,148,0.0
S109,0,26,23,148,0.0
S110,0,26,23,148,0.0
