test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMath272,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath272,solution,45,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMath272,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath272,solution,46,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMath272,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath272,solution,47,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMath272,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath272,solution,48,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSimplexSolver,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSimplexSolver,solution,72,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSimplexSolver,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSimplexSolver,solution,73,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSimplexSolver,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSimplexSolver,solution,74,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSingleVariableAndConstraint,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSingleVariableAndConstraint,solution,85,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSingleVariableAndConstraint,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSingleVariableAndConstraint,solution,86,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testModelWithNoArtificialVars,org.apache.commons.math.optimization.linear.SimplexSolverTest,testModelWithNoArtificialVars,solution,103,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testModelWithNoArtificialVars,org.apache.commons.math.optimization.linear.SimplexSolverTest,testModelWithNoArtificialVars,solution,104,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testModelWithNoArtificialVars,org.apache.commons.math.optimization.linear.SimplexSolverTest,testModelWithNoArtificialVars,solution,105,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMinimization,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMinimization,solution,118,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMinimization,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMinimization,solution,119,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testMinimization,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMinimization,solution,120,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSolutionWithNegativeDecisionVariable,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSolutionWithNegativeDecisionVariable,solution,132,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSolutionWithNegativeDecisionVariable,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSolutionWithNegativeDecisionVariable,solution,133,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testSolutionWithNegativeDecisionVariable,org.apache.commons.math.optimization.linear.SimplexSolverTest,testSolutionWithNegativeDecisionVariable,solution,134,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,170,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,171,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,172,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,173,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,174,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testRestrictVariablesToNonNegative,org.apache.commons.math.optimization.linear.SimplexSolverTest,testRestrictVariablesToNonNegative,solution,175,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testEpsilon,org.apache.commons.math.optimization.linear.SimplexSolverTest,testEpsilon,solution,189,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testEpsilon,org.apache.commons.math.optimization.linear.SimplexSolverTest,testEpsilon,solution,190,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testEpsilon,org.apache.commons.math.optimization.linear.SimplexSolverTest,testEpsilon,solution,191,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testEpsilon,org.apache.commons.math.optimization.linear.SimplexSolverTest,testEpsilon,solution,192,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testTrivialModel,org.apache.commons.math.optimization.linear.SimplexSolverTest,testTrivialModel,solution,203,Virtual_Pass
org.apache.commons.math.optimization.linear.SimplexSolverTest::testLargeModel,org.apache.commons.math.optimization.linear.SimplexSolverTest,testLargeModel,solution,330,Virtual_Pass
