virtual_test_id,S1,S2,S3,S4,S5,S6,S7,result
testCompareTo_first_L168_F_1,0,0,0,0,0,1,0,PASS
testCompareTo_first_L169_F_2,0,0,0,0,0,1,0,PASS
testCompareTo_first_L170_F_3,0,0,0,0,0,1,0,PASS
testCompareTo_second_L171_F_4,0,1,1,1,1,1,1,PASS
testCompareTo_pi1_L178_F_5,0,0,0,0,0,1,0,FAIL
testDoubleValue_first_L187_P_1,1,1,1,0,0,0,0,PASS
testDoubleValue_second_L188_P_2,1,1,1,0,0,0,0,PASS
testFloatValue_first_L195_P_3,1,1,1,0,0,0,0,PASS
testFloatValue_second_L196_P_4,1,1,1,0,0,0,0,PASS
testIntValue_first_L203_P_5,1,1,1,0,0,0,0,PASS
testIntValue_second_L204_P_6,1,1,1,0,0,0,0,PASS
testLongValue_first_L211_P_7,1,1,1,0,0,0,0,PASS
testLongValue_second_L212_P_8,1,1,1,0,0,0,0,PASS
